id;transaction_number;transaction_date;transaction_description;transaction_amount;location_id;transaction_type_id;expense_id
1;Strategist radical;2019-12-25;deliverables Architect;57133;1;1;1
2;France Branch;2019-12-26;mobile hacking;17142;2;2;2
3;bypassing;2019-12-25;Incredible copying Associate;29605;3;3;3
4;Triple-buffered Tasty Cotton Towels Seamless;2019-12-25;Senior;36367;4;4;4
5;Concrete Granite;2019-12-25;virtual;91493;5;5;5
6;Paradigm;2019-12-25;Officer;2504;6;6;6
7;Refined Soft Bike system-worthy;2019-12-26;Personal Loan Account Central;73812;7;7;7
8;optimizing;2019-12-26;Licensed Metal Shoes Regional;71909;8;8;8
9;Mexico Czech Koruna architectures;2019-12-25;Granite Salad Rustic Frozen Keyboard;27055;9;9;9
10;calculate Infrastructure;2019-12-25;solid state;29560;10;10;10
