id;transaction_number;transaction_date;transaction_description;transaction_amount;location_id;transaction_type_id;supplier_id
1;Virginia;2020-01-01;orchid;34930;1;1;1
2;global;2019-12-31;customer loyalty Towels neural;16132;2;2;2
3;parse migration Seamless;2019-12-31;morph Bond Markets Units European Composite Unit (EURCO) invoice;92211;3;3;3
4;Computer Generic Steel Towels Keyboard;2019-12-31;24/7;50146;4;4;4
5;Tasty Metal Soap Handcrafted XSS;2020-01-01;firewall deposit Toys;89175;5;5;5
6;synergize;2020-01-01;Checking Account Rustic Rubber Shirt standardization;18134;6;6;6
7;Chips European Unit of Account 17(E.U.A.-17);2020-01-01;leverage maroon;3938;7;7;7
8;New Leu;2020-01-01;compelling web-readiness;15310;8;8;8
9;Kids hacking;2019-12-31;regional Rustic Soft Ball open architecture;6158;9;9;9
10;turquoise Tasty Soft Hat;2019-12-31;monitor;27884;10;10;10
