id;transaction_number;transaction_date;transaction_description;transaction_amount;location_id;transaction_type_id;expense_id
1;solid state Direct Sports;2019-12-25;haptic help-desk Mississippi;25338;1;1;1
2;Berkshire withdrawal Plastic;2019-12-25;Money Market Account mesh;4746;2;2;2
3;EXE SQL Computers;2019-12-25;copy;61146;3;3;3
4;Legacy Investment Account Cambridgeshire;2019-12-25;matrix Avon salmon;41156;4;4;4
5;back-end syndicate disintermediate;2019-12-26;Realigned Product;19147;5;5;5
6;Borders;2019-12-25;red Turkmenistan;35762;6;6;6
7;parse Licensed Frozen Gloves;2019-12-26;port reintermediate Home;7281;7;7;7
8;utilisation reinvent;2019-12-25;European Monetary Unit (E.M.U.-6) Product back up;87648;8;8;8
9;Falkland Islands Pound Ranch;2019-12-25;Customer Technician blue;23590;9;9;9
10;Configuration;2019-12-26;Associate;67218;10;10;10
