id;config_code;config_description;config_enabled;config_paramter
1;Credit Card Account;Station override bypassing;true;32409
2;bricks-and-clicks Plastic;Awesome Fresh Car;true;38078
3;integrated bluetooth;Central backing up Plastic;true;37559
4;Optimization next generation Bike;Handmade Cotton Bike Music;false;812
5;web-enabled lime;Generic;true;78921
6;Niger;iterate payment;true;80415
7;incubate Research model;Solutions cross-platform deposit;false;71875
8;attitude-oriented Checking Account;Car Analyst wireless;false;48433
9;Global;invoice;false;8660
10;parsing Money Market Account;Sports;true;18145
