id;history_description;history_date;type_id;last_modified_user_id;created_user_id
1;intuitive Indiana Illinois;2019-12-25T19:48:43;1;1;1
2;grid-enabled;2019-12-26T09:09:04;2;2;2
3;Generic Frozen Chicken;2019-12-25T09:58:34;3;3;3
4;Soft;2019-12-25T20:12:18;4;4;4
5;navigating parsing streamline;2019-12-26T06:24:17;5;5;5
6;Credit Card Account;2019-12-25T15:19:50;6;6;6
7;Borders integrate;2019-12-26T06:03:14;7;7;7
8;azure;2019-12-26T06:35:21;8;8;8
9;purple;2019-12-25T09:42:07;9;9;9
10;Rustic;2019-12-26T00:49:01;10;10;10
