id;document_type_code;document_type;is_active
1;definition Bedfordshire;Iraqi Dinar Berkshire Customer;false
2;Credit Card Account AI Music;withdrawal magenta;true
3;interfaces Buckinghamshire back-end;Bhutan intranet Communications;false
4;Kansas Mouse Architect;hierarchy Mauritania;false
5;seize;maroon hub;false
6;Savings Account Mountain cyan;customer loyalty grey;false
7;Tasty Rubber Bike Rubber logistical;Rhode Island Berkshire;false
8;Bolivar Fuerte;action-items monetize;false
9;Berkshire AGP functionalities;Berkshire Rubber;true
10;Licensed Cotton Car Avon;Functionality Supervisor;false
