id;employee_type_code;employee_type_name;is_active
1;Home Loan Account HDD;mobile bus neural;true
2;red;deposit Manager Officer;false
3;parsing Corner;parsing payment;false
4;Product neural-net payment;Salad Program;false
5;Tools Small Fresh Mouse payment;full-range Dalasi;true
6;invoice Direct Nigeria;Stravenue invoice;false
7;Forks array green;Summit teal Borders;false
8;Object-based;Investment Account deposit Steel;true
9;groupware;coherent Fresh;true
10;product function;Generic Ergonomic Malagasy Ariary;true
