id;expense_code;expense_name;expense_limit;is_active;location_id
1;grid-enabled Generic Wooden Mouse;deposit synthesizing Graphical User Interface;39064;false;1
2;Isle Qatari Rial secured line;deliverables;43127;true;2
3;SDD Handcrafted Cotton Table Intelligent Plastic Hat;encryption Bedfordshire;79651;false;3
4;compress;navigating matrix architectures;64773;false;4
5;microchip;Group;17340;false;5
6;ADP unleash;Quality;54887;false;6
7;Wyoming;payment Chicken;8262;false;7
8;infomediaries array Small;transmit;65573;false;8
9;plum;Fantastic Rubber Ball;61122;true;9
10;relationships;Granite Cambridgeshire plum;11330;false;10
