id;grn_number;grn_date;po_number;grn_amount;supplier_id;location_id;transaction_type_id;pay_type_id
1;Wisconsin;2019-12-25;Global transmit indigo;88586;1;1;1;1
2;Usability Brand;2019-12-26;Games open-source Home Loan Account;69487;2;2;2;2
3;Expanded dynamic;2019-12-25;AGP real-time;62556;3;3;3;3
4;Home Loan Account Small Frozen Fish;2019-12-26;circuit card Persevering;10658;4;4;4;4
5;program;2019-12-25;Lilangeni Street;51907;5;5;5;5
6;Lesotho Bedfordshire;2019-12-25;best-of-breed fuchsia;76723;6;6;6;6
7;Kip Optimization;2019-12-25;monetize Berkshire distributed;55193;7;7;7;7
8;Berkshire Computers Pizza;2019-12-26;index synthesizing Baby;10417;8;8;8;8
9;Industrial;2019-12-25;invoice Buckinghamshire;75365;9;9;9;9
10;hard drive Cambridgeshire 1080p;2019-12-25;Estonia Communications Data;55863;10;10;10;10
