id;addon_code;addon_name;addon_description;is_active;allow_substract;addon_price;substract_price;image;image_content_type;location_id
1;sticky visionary;Practical Steel Mouse Pants;Saint Martin;true;false;76596;94727;../fake-data/blob/hipster.png;image/png;1
2;Minnesota calculating;Manor front-end;Principal;true;false;96372;87681;../fake-data/blob/hipster.png;image/png;2
3;cultivate Orchestrator;Wooden;orchestration pixel;true;true;94518;99420;../fake-data/blob/hipster.png;image/png;3
4;Ergonomic Granite Salad Idaho database;tan;systematic Identity;true;false;15633;29173;../fake-data/blob/hipster.png;image/png;4
5;Mouse;empower Graphic Interface;Mountains;false;true;97849;54339;../fake-data/blob/hipster.png;image/png;5
6;bypassing Granite;black;Synchronised experiences;true;false;62071;10222;../fake-data/blob/hipster.png;image/png;6
7;infrastructure FTP Personal Loan Account;disintermediate monitor;Arizona mobile teal;false;false;82343;48328;../fake-data/blob/hipster.png;image/png;7
8;SSL solid state;plum;Personal Loan Account;false;false;65758;78667;../fake-data/blob/hipster.png;image/png;8
9;transmitter navigating Implementation;redundant extend synthesize;time-frame eyeballs;false;true;21370;67407;../fake-data/blob/hipster.png;image/png;9
10;infomediaries Lead;database Croatian Kuna;Buckinghamshire Auto Loan Account magenta;false;false;42723;25299;../fake-data/blob/hipster.png;image/png;10
