id;license_type_code;license_type_name;validity_days;is_active
1;intangible Frozen;Rubber;25895;false
2;optimal Metal Barbados;Kenyan Shilling;99315;true
3;Philippines Auto Loan Account override;web services Usability Music;9602;false
4;communities;Refined Steel Ball;23942;false
5;Automotive Electronics;Usability Awesome;93642;true
6;Optional;override;43987;false
7;Lane;reciprocal;38060;true
8;productivity Colombian Peso Unidad de Valor Real;Gorgeous generating;65148;true
9;Beauty;Cordoba Oro Salad;6322;true
10;Infrastructure;Games Cambridgeshire;59933;false
