id;menu_name;menu_url;is_active
1;HTTP Arizona;Intelligent Pass bypassing;false
2;bleeding-edge orchid;Senior quantifying;false
3;Usability Principal;cultivate;true
4;application Home Loan Account;world-class composite;true
5;extensible back up;Assistant Norwegian Krone Radial;true
6;TCP Metal circuit;implement Consultant;true
7;Sausages Pizza;lime Multi-lateral port;false
8;Dynamic overriding;Soap ADP Chief;true
9;vortals Field;Keyboard 4th generation Agent;false
10;application Surinam Dollar payment;withdrawal;false
