id;transaction_date;transaction_description;transaction_amount;transaction_balance;location_id;transaction_type_id;pay_type_id
1;2019-12-25;Gorgeous;59226;88514;1;1;1
2;2019-12-25;Zloty;63093;5883;2;2;2
3;2019-12-25;Intelligent;35135;46654;3;3;3
4;2019-12-26;reboot compressing;95205;47963;4;4;4
5;2019-12-25;Soap;49191;58222;5;5;5
6;2019-12-26;Product Towels Soft;41695;84508;6;6;6
7;2019-12-25;didactic Costa Rica mission-critical;78363;17385;7;7;7
8;2019-12-25;redundant Harbors;55199;77916;8;8;8
9;2019-12-25;Home array;74752;52271;9;9;9
10;2019-12-25;Regional;81984;19483;10;10;10
