id;payment_types_code;payment_types;payment_types_charge_per;is_active;location_id
1;sky blue;Plastic solutions;87664;false;1
2;proactive solutions;haptic synergy;64365;true;2
3;Graphical User Interface generate Malawi;Rial Omani Mountain;67909;false;3
4;wireless virtual;payment value-added;65130;true;4
5;invoice;withdrawal;13198;true;5
6;neural neural;withdrawal;12077;true;6
7;Practical Incredible Granite Chips;Multi-layered Berkshire override;83588;true;7
8;Small Cotton Ball generate;generating;38906;true;8
9;transmit;European Unit of Account 17(E.U.A.-17) Mobility Metal;54595;true;9
10;black;Cambridgeshire;84142;false;10
