id;po_number;po_date;po_amount;supplier_id;location_id;transaction_type_id
1;invoice;2019-12-25;92856;1;1;1
2;reboot Keyboard;2019-12-26;77402;2;2;2
3;Gorgeous Soft Hat Mauritania Security;2019-12-25;1476;3;3;3
4;Kentucky parsing;2019-12-25;2258;4;4;4
5;panel HDD;2019-12-25;40249;5;5;5
6;solid state Indian Rupee bypassing;2019-12-25;52018;6;6;6
7;backing up Trafficway;2019-12-26;54036;7;7;7
8;gold systems Handmade;2019-12-26;40893;8;8;8
9;disintermediate Identity Implementation;2019-12-25;51286;9;9;9
10;calculate tangible motivating;2019-12-25;2887;10;10;10
