id;transaction_number;transaction_date;transaction_description;transaction_qty;item_id;location_from_id;location_to_id
1;human-resource Pizza Baby;2020-01-01;withdrawal Front-line;89437;1;1;1
2;synergies;2020-01-01;client-driven Group Som;38223;2;2;2
3;Buckinghamshire Circles;2019-12-31;capacitor;13006;3;3;3
4;Utah Balboa US Dollar;2020-01-01;transmitter Ergonomic Frozen Pants;19641;4;4;4
5;Idaho;2019-12-31;synthesizing;69162;5;5;5
6;protocol Intelligent;2020-01-01;Bulgaria Forint Ville;54497;6;6;6
7;Tasty auxiliary;2019-12-31;Angola;27342;7;7;7
8;Global;2020-01-01;mission-critical global Liaison;65828;8;8;8
9;systems;2019-12-31;compelling Chips deposit;89824;9;9;9
10;array;2020-01-01;Paradigm Administrator;36357;10;10;10
