id;worker_code;worker_name;worker_limit;is_active;rating;location_id
1;contingency connect Costa Rica;Analyst metrics quantifying;45819;true;33851;1
2;Kip;stable Berkshire;14978;true;79932;2
3;calculate;Lead;37593;false;67473;3
4;Creative Niue;holistic;50632;false;79170;4
5;Plains Planner;South Dakota eyeballs FTP;71091;true;10862;5
6;Netherlands Antilles;Administrator withdrawal;65444;false;36308;6
7;synergize leverage Gorgeous Cotton Cheese;B2B Lake haptic;41863;true;23055;7
8;CFA Franc BEAC;Puerto Rico;7214;false;91768;8
9;Intelligent Plastic Hat Auto Loan Account;systematic;88487;false;65681;9
10;Afghani customer loyalty;Corporate Designer;49181;false;26560;10
